Energy,Ion_1,Ion_2,Ion_3,Ion_4,Ion_5,Ion_6,Ion_7,ND_1,ND_2,ND_3,EA,Nu_1,Nu_2,Nu_3,Nu_4,J3,J4,Lya,Lyb,Lyg,Ha,Hb,Hg,Hd,CHG,CIII,CI,CIV,Elastic,Inelastic,RotVib,Ion,ND,Total_a,Total
1,0,0,0,0,0,0,0,0,0,0,0,3.76E-16,7.35E-16,1.37E-15,1.96E-15,1.48E-15,7.44E-17,0,0,0,0,0,0,0,0,0,0,0,1.50E-14,5.99E-15,5.99E-15,0.00E+00,0.00E+00,2.10E-14,2.10E-14
1.264855217,0,0,0,0,0,0,0,0,0,0,0,3.17E-16,7.00E-16,1.22E-15,1.81E-15,1.08E-15,8.70E-17,0,0,0,0,0,0,0,0,0,0,0,2.12E-14,5.22E-15,5.22E-15,0.00E+00,0.00E+00,2.64E-14,2.64E-14
1.59985872,0,0,0,0,0,0,0,0,0,0,0,2.93E-16,6.94E-16,1.10E-15,1.66E-15,7.20E-16,1.06E-16,0,0,0,0,0,0,0,0,0,0,0,3.21E-14,4.57E-15,4.57E-15,0.00E+00,0.00E+00,3.66E-14,3.66E-14
2.023589648,0,0,0,0,0,0,0,0,0,0,0,3.35E-16,7.42E-16,1.02E-15,1.53E-15,4.80E-16,1.59E-16,0,0,0,0,0,0,0,0,0,0,0,5.00E-14,4.27E-15,4.27E-15,0.00E+00,0.00E+00,5.43E-14,5.43E-14
2.559547923,0,0,0,0,0,0,0,0,0,0,0,4.91E-16,8.88E-16,1.06E-15,1.44E-15,4.80E-16,3.15E-16,0,0,0,0,0,0,0,0,0,0,0,7.79E-14,4.68E-15,4.68E-15,0.00E+00,0.00E+00,8.25E-14,8.25E-14
3.237457543,0,0,0,0,0,0,0,0,0,0,0,8.24E-16,1.19E-15,1.31E-15,1.45E-15,8.86E-16,7.12E-16,0,0,0,0,0,0,0,0,0,0,0,1.17E-13,6.38E-15,6.38E-15,0.00E+00,0.00E+00,1.24E-13,1.24E-13
4.094915062,0,0,0,0,0,0,0,0,0,0,0,1.41E-15,1.75E-15,1.90E-15,1.63E-15,1.89E-15,1.59E-15,0,0,0,0,0,0,0,0,0,0,0,1.65E-13,1.02E-14,1.02E-14,0.00E+00,0.00E+00,1.76E-13,1.76E-13
5.179474679,0,0,0,0,0,0,0,0,0,0,0,2.26E-15,2.65E-15,3.03E-15,2.06E-15,3.63E-15,3.28E-15,0,0,0,0,0,0,0,0,0,0,0,2.11E-13,1.69E-14,1.69E-14,0.00E+00,0.00E+00,2.28E-13,2.28E-13
6.551285569,0,0,0,0,0,0,0,0,0,0,5.17E-18,3.20E-15,3.96E-15,4.80E-15,3.12E-15,5.91E-15,5.85E-15,0,0,0,0,0,0,0,0,0,0,0,2.39E-13,2.68E-14,2.68E-14,0.00E+00,0.00E+00,2.65E-13,2.65E-13
8.286427729,0,0,0,0,0,0,0,1.49E-16,4.94E-16,0,8.55E-17,3.28E-15,4.49E-15,5.74E-15,3.99E-15,7.60E-15,9.91E-15,0,0,0,0,0,0,0,0,0,0,0,2.42E-13,3.57E-14,3.50E-14,0.00E+00,6.42E-16,2.78E-13,2.78E-13
10.48113134,0,0,0,0,0,0,0,1.45E-15,2.38E-15,0,1.40E-16,2.11E-15,3.42E-15,4.67E-15,3.87E-15,8.74E-15,1.44E-14,0,0,0,0,0,0,0,0,0,0,0,2.25E-13,4.12E-14,3.72E-14,0.00E+00,3.83E-15,2.67E-13,2.67E-13
13.25711366,0,0,0,0,0,0,0,4.69E-15,5.09E-15,2.21E-17,8.04E-18,1.33E-15,2.42E-15,3.36E-15,3.40E-15,1.02E-14,1.60E-14,0,0,0,0,0,0,0,5.17E-23,0,0,0,1.99E-13,4.65E-14,3.67E-14,0.00E+00,9.81E-15,2.46E-13,2.46E-13
16.76832937,4.03E-15,3.16E-15,0,0,0,0,0,9.80E-15,6.96E-15,1.08E-16,1.90E-19,1.06E-15,1.77E-15,2.22E-15,2.84E-15,1.18E-14,1.46E-14,4.21E-19,7.04E-25,0,3.34E-21,0,0,0,3.46E-17,0,3.99E-25,0,1.71E-13,5.84E-14,3.43E-14,7.18E-15,1.69E-14,2.29E-13,2.29E-13
21.20950888,9.39E-15,7.30E-15,3.82E-16,0,0,0,0,1.38E-14,5.97E-15,1.99E-16,4.48E-21,8.82E-16,1.30E-15,1.49E-15,2.40E-15,1.34E-14,1.14E-14,1.04E-17,2.38E-18,9.08E-19,7.15E-18,1.45E-18,9.13E-19,1.85E-19,7.87E-17,0,1.85E-20,0,1.44E-13,6.80E-14,3.09E-14,1.71E-14,1.99E-14,2.12E-13,2.12E-13
26.82695795,1.25E-14,9.86E-15,1.26E-15,1.71E-16,0,2.06E-19,2.33E-17,1.37E-14,4.13E-15,2.89E-16,1.06E-22,7.37E-16,9.55E-16,1.05E-15,2.01E-15,1.41E-14,8.81E-15,5.52E-17,1.83E-17,8.83E-18,3.35E-17,1.18E-17,4.95E-18,1.44E-18,1.32E-16,2.31E-19,1.75E-18,2.27E-19,1.21E-13,6.99E-14,2.77E-14,2.38E-14,1.82E-14,1.91E-13,1.91E-13
33.93221772,1.42E-14,1.13E-14,2.19E-15,8.35E-16,1.33E-16,2.38E-17,3.29E-16,1.22E-14,2.12E-15,3.71E-16,2.50E-24,6.15E-16,7.02E-16,7.36E-16,1.68E-15,1.25E-14,6.35E-15,1.61E-16,3.88E-17,1.89E-17,8.04E-17,2.59E-17,1.16E-17,4.19E-18,1.84E-16,8.46E-18,1.84E-17,4.97E-18,1.01E-13,6.68E-14,2.26E-14,2.90E-14,1.47E-14,1.67E-13,1.68E-13
42.9193426,1.51E-14,1.22E-14,2.77E-15,1.33E-15,3.29E-16,1.66E-16,1.30E-15,1.18E-14,2.71E-16,4.37E-16,5.90E-26,5.14E-16,5.16E-16,5.17E-16,1.41E-15,1.05E-14,4.73E-15,3.13E-16,6.30E-17,3.02E-17,1.44E-16,4.04E-17,1.90E-17,7.62E-18,2.23E-16,1.17E-17,2.60E-17,6.97E-18,8.38E-14,6.46E-14,1.81E-14,3.31E-14,1.25E-14,1.48E-13,1.48E-13
54.28675439,1.55E-14,1.26E-14,3.05E-15,1.60E-15,4.81E-16,2.91E-16,2.61E-15,9.81E-15,3.57E-17,4.82E-16,1.39E-27,4.29E-16,3.80E-16,3.63E-16,1.18E-15,8.76E-15,3.52E-15,4.52E-16,8.94E-17,4.22E-17,2.12E-16,5.36E-17,2.49E-17,1.04E-17,2.43E-16,1.41E-17,2.70E-17,7.55E-18,6.96E-14,6.23E-14,1.46E-14,3.62E-14,1.03E-14,1.31E-13,1.32E-13
68.6648845,1.56E-14,1.27E-14,3.13E-15,1.72E-15,5.76E-16,3.53E-16,3.65E-15,7.71E-15,4.69E-18,4.99E-16,3.29E-29,3.58E-16,2.79E-16,2.55E-16,9.83E-16,7.34E-15,2.62E-15,5.40E-16,1.12E-16,5.27E-17,2.66E-16,6.29E-17,2.80E-17,1.17E-17,2.43E-16,1.92E-17,3.76E-17,9.72E-18,5.78E-14,5.92E-14,1.18E-14,3.78E-14,8.22E-15,1.16E-13,1.17E-13
86.85113738,1.54E-14,1.26E-14,3.09E-15,1.72E-15,6.12E-16,3.77E-16,4.20E-15,5.91E-15,6.16E-19,4.62E-16,7.76E-31,2.99E-16,2.05E-16,1.79E-16,8.22E-16,6.14E-15,1.95E-15,5.77E-16,1.25E-16,5.89E-17,2.88E-16,6.60E-17,2.84E-17,1.17E-17,2.31E-16,2.24E-17,4.68E-17,1.21E-17,4.80E-14,5.55E-14,9.60E-15,3.80E-14,6.38E-15,1.02E-13,1.04E-13
109.8541142,1.49E-14,1.22E-14,2.95E-15,1.62E-15,5.98E-16,3.69E-16,4.30E-15,4.70E-15,8.10E-20,3.94E-16,1.83E-32,2.50E-16,1.51E-16,1.26E-16,6.87E-16,5.15E-15,1.45E-15,5.74E-16,1.24E-16,5.89E-17,2.77E-16,6.29E-17,2.66E-17,1.08E-17,2.13E-16,2.23E-17,4.43E-17,1.26E-17,3.99E-14,5.13E-14,7.82E-15,3.70E-14,5.09E-15,8.98E-14,9.12E-14
138.9495494,1.42E-14,1.16E-14,2.73E-15,1.46E-15,5.45E-16,3.37E-16,4.04E-15,3.61E-15,1.07E-20,3.22E-16,4.32E-34,2.09E-16,1.11E-16,8.83E-17,5.74E-16,4.31E-15,1.08E-15,5.38E-16,1.11E-16,5.35E-17,2.44E-16,5.56E-17,2.36E-17,9.53E-18,1.92E-16,2.07E-17,3.88E-17,1.13E-17,3.31E-14,4.65E-14,6.38E-15,3.49E-14,3.94E-15,7.83E-14,7.96E-14
175.7510625,1.32E-14,1.08E-14,2.45E-15,1.27E-15,4.71E-16,2.92E-16,3.56E-15,2.78E-15,1.40E-21,2.64E-16,1.02E-35,1.74E-16,8.16E-17,6.20E-17,4.80E-16,3.61E-15,8.07E-16,4.78E-16,9.36E-17,4.52E-17,2.04E-16,4.67E-17,2.01E-17,8.07E-18,1.69E-16,1.81E-17,3.29E-17,9.31E-18,2.75E-14,4.15E-14,5.22E-15,3.21E-14,3.04E-15,6.78E-14,6.90E-14
222.2996483,1.21E-14,9.90E-15,2.15E-15,1.07E-15,3.92E-16,2.44E-16,3.01E-15,2.14E-15,1.84E-22,2.16E-16,2.41E-37,1.45E-16,6.00E-17,4.36E-17,4.02E-16,3.03E-15,6.01E-16,4.03E-16,7.55E-17,3.64E-17,1.65E-16,3.79E-17,1.66E-17,6.64E-18,1.46E-16,1.49E-17,2.74E-17,7.45E-18,2.28E-14,3.64E-14,4.28E-15,2.88E-14,2.35E-15,5.83E-14,5.92E-14
281.1768698,1.09E-14,8.87E-15,1.85E-15,8.84E-16,3.16E-16,1.99E-16,2.47E-15,1.64E-15,2.42E-23,1.77E-16,5.69E-39,1.21E-16,4.41E-17,3.06E-17,3.36E-16,2.53E-15,4.47E-16,3.24E-16,5.95E-17,2.85E-17,1.31E-16,3.02E-17,1.35E-17,5.37E-18,1.24E-16,1.16E-17,2.22E-17,5.89E-18,1.89E-14,3.15E-14,3.51E-15,2.54E-14,1.82E-15,4.97E-14,5.05E-14
355.6480306,9.59E-15,7.82E-15,1.56E-15,7.19E-16,2.49E-16,1.59E-16,1.98E-15,1.26E-15,3.18E-24,1.45E-16,1.34E-40,1.01E-16,3.24E-17,2.15E-17,2.81E-16,2.12E-15,3.33E-16,2.50E-16,4.63E-17,2.20E-17,1.03E-16,2.38E-17,1.08E-17,4.27E-18,1.03E-16,8.59E-18,1.75E-17,4.65E-18,1.57E-14,2.70E-14,2.89E-15,2.21E-14,1.41E-15,4.21E-14,4.27E-14
449.8432669,8.35E-15,6.78E-15,1.29E-15,5.80E-16,1.94E-16,1.26E-16,1.58E-15,9.70E-16,4.18E-25,1.19E-16,3.17E-42,8.47E-17,2.38E-17,1.51E-17,2.35E-16,1.78E-15,2.48E-16,1.86E-16,3.58E-17,1.68E-17,8.04E-17,1.86E-17,8.51E-18,3.36E-18,8.48E-17,6.16E-18,1.34E-17,3.68E-18,1.31E-14,2.28E-14,2.38E-15,1.89E-14,1.09E-15,3.54E-14,3.59E-14
568.9866029,7.16E-15,5.81E-15,1.06E-15,4.64E-16,1.49E-16,9.91E-17,1.24E-15,7.46E-16,5.50E-26,9.71E-17,7.49E-44,7.07E-17,1.75E-17,1.06E-17,1.96E-16,1.49E-15,1.85E-16,1.35E-16,2.76E-17,1.28E-17,6.28E-17,1.46E-17,6.68E-18,2.63E-18,6.92E-17,4.44E-18,9.98E-18,2.91E-18,1.08E-14,1.91E-14,1.97E-15,1.60E-14,8.43E-16,2.96E-14,3.00E-14
719.685673,6.08E-15,4.91E-15,8.60E-16,3.70E-16,1.14E-16,7.78E-17,9.78E-16,5.73E-16,7.22E-27,7.95E-17,1.77E-45,5.91E-17,1.29E-17,7.44E-18,1.64E-16,1.25E-15,1.38E-16,9.60E-17,2.13E-17,9.72E-18,4.90E-17,1.14E-17,5.23E-18,2.05E-18,5.62E-17,3.21E-18,7.22E-18,2.31E-18,9.00E-15,1.59E-14,1.63E-15,1.34E-14,6.53E-16,2.47E-14,2.49E-14
910.298178,5.11E-15,4.12E-15,6.92E-16,2.93E-16,8.71E-17,6.09E-17,7.66E-16,4.41E-16,9.50E-28,6.51E-17,4.17E-47,4.93E-17,9.47E-18,5.23E-18,1.37E-16,1.05E-15,1.02E-16,6.75E-17,1.64E-17,7.38E-18,3.83E-17,8.85E-18,4.08E-18,1.59E-18,4.55E-17,2.31E-18,5.11E-18,1.84E-18,7.47E-15,1.32E-14,1.35E-15,1.11E-14,5.06E-16,2.05E-14,2.07E-14
1151.395399,4.28E-15,3.45E-15,5.65E-16,2.32E-16,6.62E-17,4.81E-17,6.07E-16,3.39E-16,1.25E-28,5.33E-17,9.85E-49,4.12E-17,6.96E-18,3.67E-18,1.15E-16,8.76E-16,7.63E-17,4.73E-17,1.25E-17,5.63E-18,2.99E-17,6.90E-18,3.17E-18,1.23E-18,3.68E-17,1.67E-18,3.58E-18,1.46E-18,6.20E-15,1.09E-14,1.12E-15,9.24E-15,3.92E-16,1.70E-14,1.71E-14
1456.348478,3.59E-15,2.89E-15,4.55E-16,1.84E-16,5.05E-17,3.77E-17,4.76E-16,2.60E-16,1.64E-29,4.36E-17,2.33E-50,3.44E-17,5.12E-18,2.58E-18,9.59E-17,7.33E-16,5.68E-17,3.32E-17,9.66E-18,4.27E-18,2.34E-17,5.38E-18,2.47E-18,9.50E-19,2.97E-17,1.20E-18,2.53E-18,1.16E-18,5.15E-15,9.03E-15,9.28E-16,7.68E-15,3.04E-16,1.41E-14,1.42E-14
1842.069969,3.01E-15,2.42E-15,3.67E-16,1.46E-16,3.84E-17,2.96E-17,3.74E-16,2.00E-16,2.16E-30,3.57E-17,5.49E-52,2.87E-17,3.76E-18,1.81E-18,8.02E-17,6.14E-16,4.23E-17,2.33E-17,7.44E-18,3.25E-18,1.83E-17,4.19E-18,1.92E-18,7.33E-19,2.40E-17,8.69E-19,1.78E-18,9.19E-19,4.27E-15,7.48E-15,7.71E-16,6.39E-15,2.36E-16,1.17E-14,1.18E-14
2329.951811,2.53E-15,2.03E-15,2.95E-16,1.16E-16,2.93E-17,2.32E-17,2.93E-16,1.54E-16,2.84E-31,2.92E-17,1.30E-53,2.40E-17,2.77E-18,1.27E-18,6.71E-17,5.15E-16,3.15E-17,1.64E-17,5.73E-18,2.47E-18,1.43E-17,3.27E-18,1.49E-18,5.66E-19,1.94E-17,6.27E-19,1.26E-18,7.30E-19,3.55E-15,6.21E-15,6.41E-16,5.32E-15,1.83E-16,9.69E-15,9.75E-15
2947.051703,2.12E-15,1.70E-15,2.38E-16,9.21E-17,2.23E-17,1.82E-17,2.30E-16,1.18E-16,3.73E-32,2.39E-17,3.06E-55,2.00E-17,2.03E-18,8.93E-19,5.61E-17,4.31E-16,2.35E-17,1.15E-17,4.41E-18,1.87E-18,1.12E-17,2.55E-18,1.15E-18,4.36E-19,1.57E-17,4.53E-19,8.85E-19,5.80E-19,2.95E-15,5.15E-15,5.34E-16,4.42E-15,1.42E-16,8.05E-15,8.10E-15
3727.59372,1.78E-15,1.42E-15,1.92E-16,7.31E-17,1.70E-17,1.42E-17,1.81E-16,9.09E-17,4.90E-33,1.96E-17,7.22E-57,1.67E-17,1.50E-18,6.27E-19,4.69E-17,3.61E-16,1.75E-17,8.08E-18,3.40E-18,1.42E-18,8.73E-18,1.99E-18,8.95E-19,3.36E-19,1.26E-17,3.27E-19,6.24E-19,4.61E-19,2.45E-15,4.28E-15,4.44E-16,3.68E-15,1.10E-16,6.68E-15,6.72E-15
4714.866363,1.50E-15,1.19E-15,1.55E-16,5.80E-17,1.29E-17,1.12E-17,1.42E-16,6.99E-17,6.44E-34,1.60E-17,1.71E-58,1.40E-17,1.10E-18,4.41E-19,3.92E-17,3.03E-16,1.30E-17,5.67E-18,2.62E-18,1.08E-18,6.83E-18,1.55E-18,6.94E-19,2.59E-19,1.02E-17,2.36E-19,4.40E-19,3.67E-19,2.03E-15,3.55E-15,3.70E-16,3.07E-15,8.59E-17,5.55E-15,5.58E-15
5963.623317,1.26E-15,9.98E-16,1.25E-16,4.60E-17,9.84E-18,8.76E-18,1.11E-16,5.37E-17,8.47E-35,1.31E-17,4.03E-60,1.17E-17,8.08E-19,3.09E-19,3.28E-17,2.53E-16,9.69E-18,3.98E-18,2.02E-18,8.21E-19,5.35E-18,1.21E-18,5.39E-19,1.99E-19,8.14E-18,1.70E-19,3.10E-19,2.91E-19,1.69E-15,2.95E-15,3.09E-16,2.56E-15,6.68E-17,4.62E-15,4.64E-15
7543.120063,1.06E-15,8.36E-16,1.00E-16,3.65E-17,7.49E-18,6.86E-18,8.72E-17,4.13E-17,1.11E-35,1.08E-17,9.50E-62,9.74E-18,5.94E-19,2.17E-19,2.74E-17,2.12E-16,7.22E-18,2.80E-18,1.55E-18,6.24E-19,4.17E-18,9.33E-19,4.09E-19,1.57E-19,6.57E-18,1.23E-19,2.19E-19,2.32E-19,1.40E-15,2.46E-15,2.57E-16,2.13E-15,5.20E-17,3.84E-15,3.86E-15
9540.954763,8.86E-16,7.00E-16,8.09E-17,2.90E-17,5.71E-18,5.38E-18,6.84E-17,3.17E-17,1.46E-36,8.81E-18,2.24E-63,8.13E-18,4.37E-19,1.53E-19,2.29E-17,1.78E-16,5.37E-18,1.96E-18,1.20E-18,4.74E-19,3.27E-18,7.28E-19,3.17E-19,1.21E-19,5.30E-18,8.85E-20,1.54E-19,1.84E-19,1.16E-15,2.05E-15,2.15E-16,1.78E-15,4.05E-17,3.19E-15,3.21E-15
12067.92641,7.44E-16,5.87E-16,6.52E-17,2.30E-17,4.35E-18,4.22E-18,5.37E-17,2.44E-17,1.92E-37,7.21E-18,5.30E-65,6.79E-18,3.21E-19,1.07E-19,1.92E-17,1.49E-16,4.00E-18,1.38E-18,9.22E-19,3.60E-19,2.56E-18,5.68E-19,2.45E-19,9.31E-20,4.28E-18,6.39E-20,1.09E-19,1.46E-19,9.64E-16,1.70E-15,1.79E-16,1.48E-15,3.16E-17,2.66E-15,2.67E-15
15264.17967,6.25E-16,4.91E-16,5.25E-17,1.83E-17,3.31E-18,3.31E-18,4.21E-17,1.88E-17,2.53E-38,5.91E-18,1.25E-66,5.67E-18,2.36E-19,7.53E-20,1.60E-17,1.25E-16,2.98E-18,9.69E-19,7.10E-19,2.73E-19,2.00E-18,4.43E-19,1.90E-19,7.18E-20,3.46E-18,4.61E-20,7.66E-20,1.16E-19,8.01E-16,1.42E-15,1.50E-16,1.24E-15,2.47E-17,2.21E-15,2.22E-15
19306.97729,5.24E-16,4.12E-16,4.23E-17,1.45E-17,2.52E-18,2.59E-18,3.30E-17,1.44E-17,3.32E-39,4.83E-18,2.95E-68,4.74E-18,1.74E-19,5.29E-20,1.34E-17,1.05E-16,2.22E-18,6.80E-19,5.47E-19,2.08E-19,1.57E-18,3.46E-19,1.47E-19,5.54E-20,2.79E-18,3.33E-20,5.40E-20,9.24E-20,6.65E-16,1.18E-15,1.25E-16,1.03E-15,1.92E-17,1.84E-15,1.85E-15
24420.53095,4.40E-16,3.45E-16,3.41E-17,1.15E-17,1.92E-18,2.03E-18,2.59E-17,1.11E-17,4.37E-40,3.96E-18,6.97E-70,3.96E-18,1.28E-19,3.71E-20,1.12E-17,8.76E-17,1.65E-18,4.78E-19,4.22E-19,1.58E-19,1.23E-18,2.70E-19,1.14E-19,4.27E-20,2.25E-18,2.40E-20,3.81E-20,7.34E-20,5.52E-16,9.85E-16,1.05E-16,8.61E-16,1.50E-17,1.53E-15,1.54E-15
30888.43596,3.70E-16,2.89E-16,2.75E-17,9.14E-18,1.46E-18,1.59E-18,2.03E-17,8.52E-18,5.74E-41,3.24E-18,1.65E-71,3.30E-18,9.39E-20,2.61E-20,9.36E-18,7.33E-17,1.23E-18,3.36E-19,3.25E-19,1.20E-19,9.59E-19,2.11E-19,8.86E-20,3.29E-20,1.82E-18,1.73E-20,2.69E-20,5.83E-20,4.58E-16,8.22E-16,8.74E-17,7.18E-16,1.18E-17,1.28E-15,1.28E-15
39069.39937,3.10E-16,2.42E-16,2.21E-17,7.26E-18,1.11E-18,1.25E-18,1.60E-17,6.55E-18,7.55E-42,2.65E-18,3.88E-73,2.76E-18,6.90E-20,1.83E-20,7.83E-18,6.14E-17,9.16E-19,2.36E-19,2.50E-19,9.10E-20,7.50E-19,1.64E-19,6.86E-20,2.54E-20,1.47E-18,1.25E-20,1.89E-20,4.64E-20,3.80E-16,6.85E-16,7.30E-17,6.00E-16,9.20E-18,1.06E-15,1.07E-15
49417.13361,2.61E-16,2.03E-16,1.78E-17,5.76E-18,8.48E-19,9.79E-19,1.25E-17,5.03E-18,9.93E-43,2.17E-18,9.17E-75,2.30E-18,5.07E-20,1.29E-20,6.55E-18,5.15E-17,6.82E-19,1.65E-19,1.93E-19,6.91E-20,5.87E-19,1.28E-19,5.32E-20,1.96E-20,1.19E-18,9.02E-21,1.33E-20,3.68E-20,3.16E-16,5.72E-16,6.11E-17,5.01E-16,7.21E-18,8.85E-16,8.88E-16
62505.51925,2.19E-16,1.70E-16,1.44E-17,4.57E-18,6.46E-19,7.67E-19,9.82E-18,3.87E-18,1.30E-43,1.78E-18,2.16E-76,1.92E-18,3.73E-20,9.03E-21,5.47E-18,4.31E-17,5.08E-19,1.16E-19,1.48E-19,5.25E-20,4.59E-19,1.00E-19,4.12E-20,1.51E-20,9.57E-19,6.51E-21,9.41E-21,2.93E-20,2.62E-16,4.77E-16,5.11E-17,4.19E-16,5.65E-18,7.38E-16,7.39E-16
79060.43211,1.84E-16,1.42E-16,1.16E-17,3.63E-18,4.92E-19,6.01E-19,7.71E-18,2.97E-18,1.72E-44,1.46E-18,5.11E-78,1.61E-18,2.74E-20,6.34E-21,4.58E-18,3.61E-17,3.78E-19,8.16E-20,1.14E-19,3.99E-20,3.60E-19,7.81E-20,3.19E-20,1.16E-20,7.73E-19,4.69E-21,6.63E-21,2.33E-20,2.18E-16,3.99E-16,4.27E-17,3.50E-16,4.43E-18,6.15E-16,6.16E-16
100000,1.54E-16,1.19E-16,9.33E-18,2.88E-18,3.74E-19,4.71E-19,6.05E-18,2.29E-18,2.25E-45,1.19E-18,1.21E-79,1.34E-18,2.02E-20,4.45E-21,3.83E-18,3.03E-17,2.82E-19,5.73E-20,8.81E-20,3.03E-20,2.81E-19,6.10E-20,2.48E-20,8.98E-21,6.24E-19,3.39E-21,4.68E-21,1.85E-20,1.81E-16,3.33E-16,3.57E-17,2.92E-16,3.48E-18,5.12E-16,5.13E-16